x,y,area_roof_solar_m2,PV_Pot,has_pv_2024,BeginningOfOperation_Year,heating_system1,energy_source1,update_date
2524586.4001146746,1148250.636301812,172.697823075151,20359.208656206312,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524525.5489457357,1148311.8491245334,331.1071959762455,40630.80975328852,False,-99,Chaudière stand. pour un bât.,Mazout,2018
2524463.4583233558,1148251.0996790861,114.5203253500229,14590.86484014619,True,2009,Chaudière (gén.) pour un bât.,Gaz,2001
2523790.036586158,1148044.083883953,257.7806565639065,31725.18901108017,False,-99,Chaudière à cond. pour un bât.,Mazout,2018
2523718.705178438,1148007.7538882464,186.939626595302,20656.44935243792,False,-99,Chaudière (gén.) pour un bât.,Mazout,2014
2523765.0688683414,1147954.391377783,146.4797928200535,17802.899943322907,False,-99,Chaudière (gén.) pour un bât.,Mazout,2013
2523822.7445011544,1147769.1422495265,545.3837622814426,66499.89526275829,False,-99,Chaudière (gén.) pour un bât.,Gaz,2006
2524139.081948136,1149127.6418284008,170.2828167661998,20849.672027123463,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524309.0749603263,1149106.28147122,190.2316560637317,22575.210845992788,True,2023,Chaudière (gén.) pour un bât.,Gaz,2002
2524073.2970950482,1148061.124737356,145.57662136156222,17216.579387039652,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524143.424166846,1147954.7260998166,149.13001813839048,18704.021366586887,False,-99,Chaudière (gén.) pour un bât.,Gaz,2022
2524132.011787926,1148128.111840851,162.266501247881,20127.3738609922,False,-99,Chaudière stand. pour un bât.,Mazout,2019
2524266.2637080885,1148181.5549639347,273.320652056911,31367.445371868896,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524340.3906253036,1148048.9854351569,309.9325544966311,38060.98051597326,False,-99,Chaudière (gén.) pour un bât.,Gaz,2015
2524089.1228235783,1148286.1392126726,159.7264240125998,19905.63493280101,False,-99,Chaudière à cond. pour un bât.,Mazout,2021
2524063.6544276085,1148277.1001720428,202.36263962535543,23831.568379344688,True,2017,Pompe à chaleur pour un bât.,Sonde géothermique,2021
2524105.0518616484,1148333.1237283605,144.38549819929358,18433.130661692987,False,-99,Chaudière stand. pour un bât.,Mazout,2020
2523927.163118089,1147839.2036120198,193.88115052894824,23796.913080668528,False,-99,Chaudière (gén.) pour un bât.,Gaz,2015
2523915.5449523167,1147867.6240799692,141.21552248822942,17245.03295609432,False,-99,Chaudière (gén.) pour un bât.,Mazout,2017
2524024.526375659,1147878.9115815444,507.34386328621866,65784.43359097092,False,-99,Chaudière stand. pour un bât.,Gaz,2020
2524959.5396743473,1148680.85879798,181.4803565733566,18923.70027956657,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524980.684847938,1148913.3716701407,657.8918759877655,87595.50970233153,False,-99,Chaudière à cond. pour un bât.,Gaz,2018
2524732.2382622473,1148557.9681708803,500.8342145162778,66499.86879721537,False,-99,Chaudière à cond. pour un bât.,Mazout,2020
2524747.1203947584,1148588.021800718,474.0807411560094,63288.28526990865,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2524104.8366222344,1148147.452485626,192.9156627974529,24048.872703209232,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524327.7853629855,1148123.6072762958,136.32368761331185,15378.069572782491,False,-99,Chaudière (gén.) pour un bât.,Gaz,2017
2523994.604473033,1148300.2458588583,175.8184094526666,22477.38297837388,False,-99,Central électrique pour un bât.,Electricité,2001
2524021.6088529867,1148042.588869015,214.42919375782031,24646.919681314143,False,-99,Chaudière (gén.) pour un bât.,Mazout,2013
2524000.528907733,1147838.3944094377,128.161067596742,14821.599787579467,True,2019,Central électrique pour un bât.,Electricité,2001
2524118.016123507,1148360.4021421454,196.2339836821228,23882.12494304468,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524293.5394785246,1148649.459115168,369.201792308801,49020.08656241354,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2524701.353455965,1148004.2382621712,77.6168326552794,8231.999823316703,False,-99,Chaudière à cond. pour un bât.,Gaz,2022
2524172.9321000013,1148767.3135986517,123.59349940973983,15273.44218216891,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524709.450034421,1148019.8220456077,80.4958091450179,9186.368595413534,False,-99,Chaudière stand. pour un bât.,Gaz,2018
2525177.21622936,1148925.4214598874,589.9046839327187,59336.45696662331,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524298.526810136,1149176.1316132017,233.5477343971975,25576.13562499979,False,-99,Chaudière (gén.) pour un bât.,Gaz,2021
2524434.8394013057,1149047.5533467492,181.1220457496691,16670.900907159907,False,-99,Chaudière (gén.) pour un bât.,Gaz,2006
2523692.5148402704,1148032.25862098,222.1557154397314,25668.83395261285,True,2022,Chaudière (gén.) pour un bât.,Mazout,2013
2523930.113752828,1148071.098293535,229.0482899472903,25105.557098891702,False,-99,Central électrique pour un bât.,Electricité,2001
2523452.8499576165,1147581.8896381315,122.1106523872383,15296.499151237163,False,-99,Chaudière (gén.) pour un bât.,Mazout,2013
2523437.5406705327,1147361.457331099,220.455770188078,23906.05319805954,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524551.2953878986,1148337.7015679982,463.9093705310893,54297.39140675046,False,-99,Poêle,Gaz,2001
2523996.406616499,1148044.7345402935,199.5559627110506,23847.63930183994,False,-99,Pompe à chaleur pour un bât.,Sonde géothermique,2018
2524227.757776015,1148171.6015450163,234.67241249657468,26942.578527331352,False,-99,Chaudière (gén.) pour un bât.,Mazout,2017
2523405.513385613,1147973.6193737213,229.8459221620361,27310.114909168104,False,-99,Chaudière (gén.) pour un bât.,Mazout,2002
2523681.3436160693,1148104.8960393912,172.29041123991237,21150.54037625526,False,-99,Chaudière (gén.) pour un bât.,Mazout,2011
2524061.0809228406,1148115.9994680274,255.05363959192655,28807.55668038633,True,2020,Pompe à chaleur pour un bât.,Indéterminé,2021
2523874.8949382515,1148179.3091576458,199.40987403032523,23401.43958433865,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2524451.723192458,1148226.6985015592,382.87781340379104,51797.97044544511,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2012
2524009.804456878,1148318.5618090597,240.9058803661543,26287.933470988035,True,2023,Chaudière (gén.) pour un bât.,Gaz,2018
2523299.41501271,1147545.9803797982,175.89970188954536,20742.953205781832,True,2023,Chaudière (gén.) pour un bât.,Gaz,2023
2524195.3775037304,1149047.8159020278,258.8662336842102,28076.49093636692,False,-99,Chaudière (gén.) pour un bât.,Gaz,2004
2524771.7916137464,1149660.6873585219,256.5271454132458,28635.524928136765,True,2022,Pompe à chaleur pour un bât.,Indéterminé,2001
2523937.7707534865,1147612.746631285,261.1817725540206,31193.147310365253,False,-99,Pompe à chaleur pour un bât.,Air,2022
2524104.55492817,1147820.6108898963,351.6735354306423,33170.17713239295,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2524151.8421722613,1147860.6054395244,786.0344114246848,84821.6714632998,False,-99,Chaudière à cond. pour un bât.,Gaz,2017
2524154.2420000085,1148729.1062292657,214.0321382219554,25271.79194897549,False,-99,Chaudière à cond. pour un bât.,Gaz,2023
2524183.9464595965,1147953.0574489874,265.54791509109003,31359.625119873308,False,-99,Chaudière (gén.) pour un bât.,Mazout,2013
2524277.1510084243,1148069.2579692362,551.975557105473,58017.71135451328,True,2024,Chaudière (gén.) pour un bât.,Gaz,2015
2524555.6197334845,1148073.7267275804,268.3709912969664,28940.295735932137,False,-99,Pompe à chaleur pour un bât.,Air,2020
2524640.464456927,1148147.8872081216,271.6967416635699,25634.13224615626,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524309.3968566214,1147962.416490935,656.2267814539827,76536.18023412427,False,-99,Chaudière à cond. pour un bât.,Gaz,2023
2524122.3085591905,1147899.2889715957,120.5335543986114,9597.900722617323,True,2022,Chaudière (gén.) pour un bât.,Gaz,2001
2524353.466640127,1148080.3256143825,185.7586985304162,11817.163160337332,False,-99,Chaudière (gén.) pour un bât.,Mazout,2020
2524443.151416695,1147996.5649699576,115.03625261666755,7141.25392468644,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524268.7430794816,1148798.899992848,472.8653463919293,58927.40491668634,False,-99,Chaudière à cond. pour un bât.,Gaz,2020
2524391.7222636165,1148608.6662030832,392.031204578288,46515.16103563756,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2008
2524005.005136262,1147757.3776929104,349.97227085172847,16509.889526293686,False,-99,Chaudière (gén.) pour un bât.,Mazout,2010
2524291.4589156876,1148227.498228013,86.5612697364906,5590.204665567395,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2524443.671077786,1148088.0508720004,350.0787016683344,41973.39393819119,False,-99,Chaudière (gén.) pour un bât.,Gaz,2019
2524522.80967304,1148150.5335029082,232.43565330816992,25581.219054886256,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2001
2524566.669251644,1148124.0970913072,149.111922020143,22199.01949731815,False,-99,Chaudière stand. pour un bât.,Mazout,2020
2524017.292509389,1148114.0862867108,229.1392882716289,25676.270663061863,True,2020,Chaudière (gén.) pour un bât.,Gaz,2018
2524197.5920485947,1148122.342682212,223.0461213573687,24381.580348738305,True,2015,Central électrique pour un bât.,Electricité,2001
2524511.538969898,1148018.5259102348,172.3575301228821,15421.14163693928,True,2023,Chaudière à cond. pour un bât.,Gaz,2019
2524356.867874594,1148595.563797194,329.925830950126,36549.49068091478,False,-99,Chaudière (gén.) pour un bât.,Gaz,2001
2523851.0360268303,1148555.4533636305,178.36925306634768,17805.715031073905,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523906.4448001427,1148576.0565746515,140.8443085640734,17088.284360116377,False,-99,Chaudière (gén.) pour un bât.,Mazout,2001
2523947.7616977273,1148590.1013383367,138.742936233328,15443.26114985975,True,2020,Pompe à chaleur pour un bât.,Indéterminé,2021
2523462.0259968396,1147411.9811101141,347.03134746110914,35231.79910366299,False,-99,Pompe à chaleur pour un bât.,Indéterminé,2001
2523238.2441053195,1147521.8682321792,182.25966419315108,21859.52272352943,False,-99,Chaudière (gén.) pour un bât.,Gaz,2023
2523276.1511976267,1147959.4672288096,222.30990553372777,28421.16086261431,True,2012,Chaudière (gén.) pour un bât.,Mazout,2001
2523237.834172877,1147296.7339842245,335.83195295251767,38960.938408981965,False,-99,Central électrique pour un bât.,Electricité,2001
